Name,Symbol,Market Cap (USD),Price (USD),Circulating Supply (USD),Volume (24h),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,"$275,430,853,646","$14,860.42","18,534,525 BTC","$555,418,216,916",1.08%,7.53%,13.23%
Ethereum,ETH,"$46,197,014,721",$407.74,"113,300,295 ETH","$17,169,719,517",1.12%,6.43%,6.13%
Tether,USDT,"$16,872,600,479",$1.00,"16,858,599,610 USDT *","$48,567,143,741",0.04%,0.06%,0.05%
XRP,XRP,"$10,954,155,724",$0.241895,"45,284,665,028 XRP *","$43,481,047,106",1.23%,2.75%,-0.21%
Bitcoin Cash,BCH,"$4,562,916,691",$245.80,"18,563,844 BCH","$2,085,214,980",0.63%,4.17%,-6.26%
Chainlink,LINK,"$4,061,148,536",$10.40,"390,509,556 LINK *","$1,340,780,092",1.34%,2.51%,-8.02%
Binance Coin,BNB,"$3,895,817,441",$26.98,"144,406,561 BNB *","$291,895,919",-1.05%,2.43%,-9.77%
Litecoin,LTC,"$3,692,240,244",$56.10,"65,814,203 LTC","$4,704,749,149",0.79%,6.06%,3.98%
Polkadot,DOT,"$3,504,682,510",$4.11,"852,647,705 DOT *","$549,889,252",0.91%,3.67%,1.21%
Cardano,ADA,"$2,917,132,849",$0.093761,"31,112,484,646 ADA","$62,354,742,169",0.79%,-0.51%,-2.96%
USD Coin,USDC,"$2,874,911,521",$1.00,"2,874,730,059 USDC *","$494,512,802",0.00%,-0.01%,0.01%
Bitcoin SV,BSV,"$2,874,891,322",$154.88,"18,562,208 BSV","$719,632,305",0.50%,2.94%,-6.93%
EOS,EOS,"$2,257,697,956",$2.41,"937,503,769 EOS *","$2,904,666,122",1.15%,3.62%,-8.30%
Monero,XMR,"$2,038,060,050",$114.83,"17,748,923 XMR","$2,032,602,775",1.88%,-2.40%,-7.32%
Wrapped Bitcoin,WBTC,"$1,811,712,336","$14,815.95","122,281 WBTC *","$58,846,560",0.88%,7.61%,13.01%
TRON,TRX,"$1,737,401,097",$0.024245,"71,659,657,369 TRX *","$155,864,898,418",0.06%,1.10%,-8.79%
Crypto.com Coin,CRO,"$1,662,223,660",$0.078562,"21,157,990,868 CRO *","$44,426,416",-0.31%,2.25%,-11.85%
Stellar,XLM,"$1,570,407,000",$0.075185,"20,887,239,031 XLM *","$2,511,014,531",1.18%,1.46%,-2.15%
Tezos,XTZ,"$1,382,853,954",$1.85,"749,031,139 XTZ *","$2,455,923,217",0.24%,0.66%,-4.64%
UNUS SED LEO,LEO,"$1,251,217,930",$1.25,"999,498,893 LEO *","$10,190,383",-0.69%,-0.07%,-1.25%
Neo,NEO,"$992,870,404",$14.08,"70,538,831 NEO *","$561,171,616",-0.13%,0.64%,-7.47%
Dai,DAI,"$950,993,360",$1.01,"944,436,854 DAI *","$91,326,956",0.03%,-0.02%,0.49%
Cosmos,ATOM,"$893,876,918",$4.35,"205,350,282 ATOM *","$171,138,973",0.55%,0.74%,-5.07%
NEM,XEM,"$890,261,611",$0.098918,"8,999,999,999 XEM *","$2,976,068,221",0.97%,-0.40%,3.70%
Filecoin,FIL,"$819,225,645",$28.82,"28,421,968 FIL","$99,425,233",0.85%,0.71%,-11.24%
Huobi Token,HT,"$731,109,401",$3.53,"207,039,130 HT *","$113,375,760",0.77%,2.33%,-15.66%
Binance USD,BUSD,"$691,804,224",$1.00,"691,804,224 BUSD *","$571,110,658",0.00%,0.01%,0.00%
IOTA,MIOTA,"$650,747,140",$0.234121,"2,779,530,283 MIOTA *","$13,210,214",1.46%,-1.29%,-9.16%
Dash,DASH,"$629,149,392",$64.21,"9,798,575 DASH","$676,876,166",0.36%,1.60%,-3.76%
VeChain,VET,"$606,742,093",$0.009434,"64,315,576,989 VET *","$116,389,554",0.62%,3.64%,-7.44%
THETA,THETA,"$587,812,692",$0.587813,"1,000,000,000 THETA *","$12,718,010",0.65%,3.06%,-2.92%
Ethereum Classic,ETC,"$573,682,781",$4.93,"116,313,299 ETC","$1,525,840,575",0.85%,4.30%,-7.81%
Zcash,ZEC,"$558,991,449",$53.71,"10,406,688 ZEC","$475,924,415",0.86%,1.13%,-4.58%
Maker,MKR,"$538,639,893",$536.95,"1,003,154 MKR *","$37,973,497",2.06%,5.78%,2.72%
Uniswap,UNI,"$451,539,588",$2.10,"214,529,007 UNI *","$376,077,075",15.11%,3.20%,-18.08%
OMG Network,OMG,"$393,210,363",$2.80,"140,245,398 OMG *","$472,327,441",2.97%,-0.68%,-5.38%
Celsius,CEL,"$391,342,237",$1.64,"238,863,520 CEL *","$4,753,844",-0.32%,12.38%,28.85%
UMA,UMA,"$382,267,459",$6.90,"55,401,585 UMA *","$9,889,642",5.50%,6.89%,-2.11%
Compound,COMP,"$351,131,366",$86.38,"4,065,043 COMP *","$103,860,355",2.08%,2.14%,-11.11%
Waves,WAVES,"$348,393,813",$3.37,"103,454,818 WAVES *","$42,569,172",4.09%,7.79%,12.06%
Dogecoin,DOGE,"$330,599,785",$0.002604,"126,976,568,499 DOGE","$73,983,995,080",2.77%,3.61%,1.62%
Ontology,ONT,"$329,806,452",$0.425122,"775,792,432 ONT *","$1,017,680,355",1.85%,3.15%,-5.99%
FTX Token,FTT,"$324,371,359",$3.44,"94,346,958 FTT *","$7,428,879",-0.11%,2.17%,-12.11%
Aave,AAVE,"$310,254,244",$27.46,"11,297,975 AAVE *","$52,481,559",3.96%,-0.87%,-7.26%
Synthetix Network Token,SNX,"$291,629,284",$2.78,"104,916,124 SNX *","$30,699,901",6.73%,11.21%,-21.00%
HedgeTrade,HEDG,"$289,831,867",$0.854378,"339,231,468 HEDG *","$677,763",-9.64%,16.47%,33.13%
HUSD,HUSD,"$282,756,406",$0.998763,"283,106,672 HUSD *","$54,532,273",-0.12%,-0.11%,-0.10%
BitTorrent,BTT,"$275,631,305",$0.000278,"989,966,742,455 BTT *","$49,290,631",0.68%,1.47%,-7.28%
Basic Attention Token,BAT,"$273,954,761",$0.184249,"1,486,868,945 BAT *","$173,901,323",-0.08%,3.34%,-4.26%
Algorand,ALGO,"$266,302,512",$0.239718,"1,110,899,099 ALGO","$39,061,253",-0.23%,4.53%,-10.62%
DigiByte,DGB,"$263,224,744",$0.019191,"13,716,251,161 DGB","$6,010,359",-0.04%,-0.45%,-12.06%
TrueUSD,TUSD,"$263,091,571",$0.998814,"263,404,074 TUSD *","$91,547,298",-0.08%,0.03%,-0.02%
OKB,OKB,"$258,254,347",$4.30,"60,000,000 OKB *","$46,146,379",0.65%,3.40%,-6.89%
Kusama,KSM,"$249,526,619",$29.46,"8,470,098 KSM *","$21,579,565",0.70%,4.14%,-1.25%
yearn.finance,YFI,"$255,125,507","$8,513.35","29,968 YFI *","$241,708,527",7.03%,-0.91%,-26.58%
Paxos Standard,PAX,"$244,028,715",$0.996231,"244,951,954 PAX *","$309,209,003",-0.10%,-0.57%,-0.20%
ABBC Coin,ABBC,"$240,460,936",$0.341534,"704,062,328 ABBC","$39,302,672",-3.51%,-9.28%,-13.97%
0x,ZRX,"$239,593,086",$0.322061,"743,937,911 ZRX *","$30,917,566",1.20%,4.63%,-2.03%
Ren,REN,"$222,987,350",$0.252096,"884,532,525 REN *","$31,225,228",2.62%,0.90%,-2.65%
Energy Web Token,EWT,"$193,192,990",$6.43,"30,062,138 EWT *","$138,828",1.02%,9.82%,4.60%
Ocean Protocol,OCEAN,"$188,697,968",$0.455763,"414,026,837 OCEAN *","$11,555,428",4.28%,6.06%,-11.60%
Zilliqa,ZIL,"$188,436,753",$0.017777,"10,599,845,570 ZIL","$13,964,907",1.32%,4.81%,1.84%
Celo,CELO,"$183,256,984",$1.47,"124,447,717 CELO *","$1,484,258",-0.10%,-3.44%,-15.21%
Qtum,QTUM,"$183,310,506",$1.88,"97,366,072 QTUM *","$602,710,987",2.28%,4.72%,-7.47%
ICON,ICX,"$177,360,609",$0.309658,"572,762,112 ICX *","$13,456,855",2.39%,1.32%,-6.10%
Hedera Hashgraph,HBAR,"$171,448,159",$0.028545,"6,006,191,302 HBAR *","$19,629,670",0.80%,1.63%,-4.46%
Decred,DCR,"$161,600,632",$13.23,"12,212,154 DCR","$33,029,051",5.01%,4.99%,12.08%
Quant,QNT,"$156,098,045",$12.93,"12,072,738 QNT *","$7,553,443",0.59%,1.03%,-5.74%
Kyber Network,KNC,"$138,984,136",$0.700726,"198,343,194 KNC *","$15,700,883",1.27%,-0.91%,-15.59%
Augur,REP,"$140,794,905",$12.80,"11,000,000 REP *","$7,600,793",3.86%,0.86%,0.21%
Loopring,LRC,"$135,633,073",$0.118386,"1,145,686,385 LRC *","$19,211,199",1.12%,-2.17%,-10.88%
The Midas Touch Gold,TMTG,"$131,748,092",$0.020916,"6,298,814,702 TMTG *","$16,969,215",-1.77%,-5.75%,18.40%
Ampleforth,AMPL,"$128,037,609",$1.14,"112,774,070 AMPL *","$1,008,930",1.71%,2.50%,13.40%
Lisk,LSK,"$126,514,970",$1.00,"126,323,587 LSK *","$267,890,371",-0.88%,-0.11%,-4.34%
Bitcoin Gold,BTG,"$125,117,708",$7.14,"17,513,924 BTG","$3,990,126",-0.08%,2.60%,-0.70%
Revain,REV,"$120,726,178",$0.010512,"11,484,410,729 REV *","$443,895",0.15%,0.43%,-0.88%
ZB Token,ZB,"$113,411,948",$0.244798,"463,288,810 ZB *","$9,608,840",1.70%,1.68%,-4.36%
Aragon,ANT,"$111,378,663",$2.81,"39,609,523 ANT *","$15,243,741",2.74%,0.51%,-6.92%
Terra,LUNA,"$108,834,008",$0.281823,"386,178,486 LUNA *","$2,138,203",-0.63%,0.39%,-7.22%
Siacoin,SC,"$108,505,959",$0.002411,"44,998,222,992 SC","$121,445,696,122",0.20%,0.05%,-3.54%
NEAR Protocol,NEAR,"$109,654,929",$0.627042,"174,876,443 NEAR *","$6,227,745",3.43%,16.35%,-10.87%
Reserve Rights,RSR,"$102,508,488",$0.010963,"9,349,999,000 RSR *","$68,922,521",4.85%,9.06%,-15.36%
Enjin Coin,ENJ,"$100,392,604",$0.121964,"823,130,411 ENJ *","$4,229,347",0.05%,6.95%,-7.62%
NXM,NXM,"$100,038,713",$19.48,"5,136,476 NXM *","$10,781,119",0.24%,2.69%,-20.46%
Blockstack,STX,"$99,730,909",$0.151994,"656,150,147 STX *","$485,584",1.52%,-0.48%,5.63%
CyberVein,CVT,"$99,670,810",$0.093993,"1,060,404,496 CVT *","$1,114,055",-0.06%,3.94%,-16.12%
Nexo,NEXO,"$98,567,307",$0.176013,"560,000,011 NEXO *","$9,088,672",-0.40%,4.17%,11.61%
Elrond,EGLD,"$98,747,066",$7.20,"13,710,605 EGLD *","$3,497,837",1.49%,0.10%,-1.25%
Decentraland,MANA,"$95,422,547",$0.064298,"1,484,070,634 MANA *","$14,510,260",0.16%,3.01%,0.16%
Nano,NANO,"$92,525,254",$0.694382,"133,248,297 NANO *","$5,733,518",-0.06%,-0.97%,-8.98%
Numeraire,NMR,"$85,549,444",$23.24,"3,681,843 NMR *","$7,006,302",-0.71%,0.08%,-4.65%
Ravencoin,RVN,"$84,974,114",$0.011470,"7,408,375,000 RVN","$7,592,917",-2.97%,-4.76%,2.26%
MonaCoin,MONA,"$82,734,512",$1.26,"65,729,675 MONA","$1,510,299",0.22%,2.89%,-1.93%
Band Protocol,BAND,"$81,616,918",$3.98,"20,494,033 BAND *","$60,018,673",2.27%,-1.19%,-16.64%
Bitcoin Diamond,BCD,"$78,977,226",$0.423487,"186,492,898 BCD","$2,630,702",0.05%,4.03%,-8.92%
Avalanche,AVAX,"$78,406,529",$3.20,"24,500,000 AVAX *","$21,574,229",5.48%,2.61%,-16.61%
Velas,VLX,"$76,992,931",$0.036554,"2,106,296,362 VLX *","$2,194,107",0.68%,-4.87%,-15.21%
IoTeX,IOTX,"$76,717,818",$0.007888,"9,725,664,442 IOTX *","$9,676,125",1.81%,6.04%,13.53%
Golem,GNT,"$74,222,289",$0.074921,"990,670,000 GNT *","$6,127,858",0.24%,4.97%,-10.02%
DxChain Token,DX,"$74,478,285",$0.001490,"50,000,000,000 DX *","$51,224",-2.79%,3.80%,-6.67%
SushiSwap,SUSHI,"$74,628,700",$0.507730,"146,985,141 SUSHI *","$19,421,864",4.06%,2.32%,-20.14%
Orchid,OXT,"$73,611,825",$0.200258,"367,584,352 OXT *","$2,976,955",-0.45%,-0.23%,-9.21%
PAX Gold,PAXG,"$73,602,912","$1,945.17","37,839 PAXG *","$4,568,246",0.72%,1.38%,2.88%
Bytom,BTM,"$73,795,180",$0.053293,"1,384,704,944 BTM","$19,111,171",-1.26%,1.96%,-7.58%
Holo,HOT,"$74,190,589",$0.000445,"166,650,259,521 HOT *","$6,994,365",-3.66%,-1.00%,-4.07%
Uquid Coin,UQC,"$71,479,052",$7.15,"10,000,000 UQC *","$13,791,816",0.11%,17.56%,20.59%
Status,SNT,"$71,104,803",$0.020488,"3,470,483,788 SNT *","$5,417,250",1.42%,6.54%,-4.65%
SwissBorg,CHSB,"$67,532,805",$0.073132,"923,441,731 CHSB *","$352,382",-2.77%,4.09%,8.83%
KuCoin Shares,KCS,"$67,542,362",$0.836662,"80,728,394 KCS *","$5,601,474",-0.43%,1.02%,-1.36%
IOST,IOST,"$67,620,770",$0.004434,"15,251,744,957 IOST *","$36,951,972",1.66%,2.39%,-11.42%
Divi,DIVI,"$65,131,817",$0.032887,"1,980,470,482 DIVI","$281,514",-0.49%,4.04%,4.51%
Verge,XVG,"$63,108,645",$0.003852,"16,383,559,343 XVG","$1,068,172",-0.71%,1.25%,-1.22%
RSK Infrastructure Framework,RIF,"$63,207,821",$0.096343,"656,073,345 RIF *","$451,037",-1.31%,1.71%,3.79%
Nervos Network,CKB,"$63,219,119",$0.002970,"21,283,251,122 CKB *","$32,971,984",2.51%,-1.78%,-22.62%
THORChain,RUNE,"$63,553,107",$0.401138,"158,432,088 RUNE *","$3,577,030",1.21%,11.53%,1.91%
Swipe,SXP,"$63,701,655",$0.829806,"76,766,934 SXP *","$30,678,637",4.77%,11.80%,0.33%
Balancer,BAL,"$61,862,860",$8.91,"6,943,831 BAL *","$21,756,885",2.47%,8.67%,-15.13%
Solana,SOL,"$61,938,324",$1.35,"45,883,950 SOL *","$7,968,336",0.39%,-0.75%,-9.45%
Matic Network,MATIC,"$59,130,106",$0.012464,"4,744,192,768 MATIC *","$8,697,901",0.86%,2.72%,-15.16%
Arweave,AR,"$58,721,333",$1.76,"33,394,701 AR *","$2,807,550",-0.23%,-1.95%,-21.62%
MaidSafeCoin,MAID,"$58,137,896",$0.128467,"452,552,412 MAID *","$254,812",-0.29%,3.68%,31.05%
Gnosis,GNO,"$56,426,888",$51.08,"1,104,590 GNO *","$166,946",-0.38%,-4.15%,17.20%
Storj,STORJ,"$54,798,587",$0.274995,"199,271,425 STORJ *","$10,256,367",1.38%,2.86%,-15.03%
Energi,NRG,"$53,947,932",$1.56,"34,530,192 NRG","$2,163,818",6.28%,2.63%,-6.59%
Steem,STEEM,"$53,738,374",$0.136117,"394,794,416 STEEM *","$1,035,430",-0.14%,0.87%,-8.48%
Horizen,ZEN,"$52,963,383",$5.14,"10,308,175 ZEN","$2,604,302",-1.80%,-3.99%,-8.72%
iExec RLC,RLC,"$52,829,821",$0.659789,"80,070,793 RLC *","$3,610,859",1.21%,-1.00%,-15.27%
Unibright,UBT,"$52,481,151",$0.352696,"148,799,999 UBT *","$1,975,899",0.48%,0.17%,-0.70%
Komodo,KMD,"$51,902,949",$0.423231,"122,635,057 KMD","$2,804,078",-1.64%,-0.52%,-8.82%
Ankr,ANKR,"$47,121,075",$0.008083,"5,829,566,044 ANKR *","$35,649,451",-0.92%,23.43%,7.08%
BitShares,BTS,"$47,070,554",$0.015703,"2,997,490,000 BTS *","$17,043,610,172",1.25%,5.06%,-7.46%
Ardor,ARDR,"$46,869,041",$0.046916,"998,999,495 ARDR *","$1,665,191",-0.24%,1.15%,-3.98%
Chiliz,CHZ,"$46,411,642",$0.009432,"4,920,737,861 CHZ *","$5,227,330",-0.38%,0.47%,-0.89%
WAX,WAXP,"$44,159,793",$0.031572,"1,398,697,086 WAXP *","$369,188",-1.53%,2.39%,-10.08%
Utrust,UTK,"$44,079,090",$0.097954,"450,000,000 UTK *","$4,187,587",-0.13%,-10.59%,12.64%
Helium,HNT,"$43,555,358",$0.808123,"53,896,954 HNT","$301,803",1.78%,13.94%,-11.98%
Stratis,STRAT,"$43,323,933",$0.433142,"100,022,510 STRAT *","$7,254,553",-2.18%,1.15%,6.00%
aelf,ELF,"$43,379,642",$0.079672,"544,480,200 ELF *","$8,194,309",-0.36%,5.59%,-9.45%
Electroneum,ETN,"$43,194,665",$0.004232,"10,206,143,792 ETN","$1,191,356",-2.56%,-2.79%,-4.24%
Hive,HIVE,"$42,467,929",$0.102408,"414,694,275 HIVE *","$1,955,643",-1.06%,0.39%,-14.15%
Kava.io,KAVA,"$42,411,906",$1.27,"33,485,395 KAVA *","$23,748,312",0.18%,-0.99%,-12.19%
IRISnet,IRIS,"$41,529,100",$0.048024,"864,752,917 IRIS *","$4,796,368",-1.13%,22.69%,-2.29%
Serum,SRM,"$41,582,891",$0.831658,"50,000,000 SRM *","$10,767,058",0.63%,1.87%,-16.41%
Theta Fuel,TFUEL,"$41,274,361",$0.008317,"4,962,631,792 TFUEL *","$928,422",-0.31%,-3.28%,-11.25%
DFI.Money,YFII,"$41,473,389","$1,074.55","38,596 YFII *","$73,288,488",4.15%,-3.73%,-18.79%
JUST,JST,"$40,402,141",$0.017874,"2,260,326,706 JST *","$32,971,694",0.84%,-2.01%,-25.91%
HyperCash,HC,"$39,929,978",$0.889995,"44,865,397 HC","$7,451,198",0.08%,2.29%,-3.80%
Hxro,HXRO,"$39,433,634",$0.214811,"183,573,299 HXRO *","$377,856",-1.55%,-0.69%,-6.47%
QuarkChain,QKC,"$38,941,682",$0.004282,"9,094,114,679 QKC *","$3,200,942",-0.62%,3.14%,-5.99%
Bancor,BNT,"$38,815,095",$0.554905,"69,949,026 BNT *","$24,771,927",1.09%,5.92%,-12.56%
Hyperion,HYN,"$38,223,388",$0.120668,"316,765,917 HYN *","$148,430",0.04%,4.64%,4.00%
Curve DAO Token,CRV,"$38,241,224",$0.354538,"107,862,052 CRV *","$11,820,333",5.66%,3.09%,-21.28%
TomoChain,TOMO,"$37,536,470",$0.494369,"75,928,100 TOMO","$3,587,258",1.87%,1.49%,-19.01%
STASIS EURO,EURS,"$37,045,921",$1.16,"31,979,207 EURS *","$2,551,060",0.04%,0.48%,1.04%
Wanchain,WAN,"$36,755,048",$0.217798,"168,757,334 WAN *","$596,975",-2.26%,0.57%,-14.67%
Pundi X,NPXS,"$36,363,893",$0.000155,"234,544,488,396 NPXS *","$684,337",0.27%,3.54%,2.48%
Kin,KIN,"$36,293,049",$0.000024,"1,518,114,145,968 KIN *","$544,554",1.88%,15.18%,3.36%
Ark,ARK,"$36,221,417",$0.289901,"124,943,941 ARK *","$1,144,365",-0.15%,4.51%,1.37%
ShareToken,SHR,"$34,775,744",$0.017843,"1,948,979,165 SHR *","$3,713,368",-4.64%,-5.95%,-3.33%
Flexacoin,FXC,"$34,428,081",$0.004733,"7,273,713,838 FXC *","$1,888,262",1.42%,5.31%,-12.28%
SUN,SUN,"$34,136,547",$7.45,"4,581,173 SUN *","$148,702,365",-0.97%,-1.77%,-27.28%
Power Ledger,POWR,"$33,563,212",$0.079160,"423,992,467 POWR *","$4,505,219",0.64%,3.77%,2.22%
SOLVE,SOLVE,"$31,961,108",$0.085082,"375,651,077 SOLVE *","$230,094",-0.88%,0.51%,-12.26%
SingularityNET,AGI,"$31,641,822",$0.037524,"843,236,511 AGI *","$316,987",1.29%,-3.20%,0.31%
Zcoin,XZC,"$31,548,563",$2.82,"11,177,668 XZC","$5,758,432",-0.19%,2.09%,-19.82%
Digitex Futures,DGTX,"$31,299,981",$0.033618,"931,035,715 DGTX *","$2,360,365",-1.58%,-3.77%,38.71%
OriginTrail,TRAC,"$31,178,467",$0.097530,"319,680,607 TRAC *","$130,090",1.62%,0.20%,10.43%
Handshake,HNS,"$31,133,538",$0.097409,"319,615,458 HNS *","$711,959",-2.88%,0.11%,8.35%
Tellor,TRB,"$30,893,203",$20.15,"1,532,799 TRB","$33,993,355",5.71%,9.63%,-5.49%
GateToken,GT,"$30,863,958",$0.403851,"76,424,057 GT *","$7,796,294",1.87%,-0.59%,-14.39%
Orbs,ORBS,"$30,499,432",$0.013677,"2,229,950,518 ORBS *","$14,400,630",-0.87%,8.22%,12.39%
Nexalt,XLT,"$30,626,376",$1.57,"19,480,897 XLT *","$385,166",0.32%,5.93%,31.78%
v.systems,VSYS,"$29,982,904",$0.014088,"2,128,216,123 VSYS *","$16,521,032,357",-0.79%,0.05%,-9.55%
Travala.com,AVA,"$29,877,108",$0.715738,"41,743,062 AVA *","$3,448,940",3.47%,0.30%,85.71%
Melon,MLN,"$29,726,398",$19.92,"1,492,260 MLN *","$1,271,387",-0.28%,-2.69%,-1.09%
Aeternity,AE,"$29,471,701",$0.090877,"324,303,823 AE","$763,695,582",-0.50%,1.77%,-5.61%
Fantom,FTM,"$29,564,027",$0.013916,"2,124,402,574 FTM *","$8,484,127",2.72%,0.28%,-19.39%
Kleros,PNK,"$29,324,303",$0.052956,"553,748,265 PNK *","$3,336,665",-0.29%,7.11%,-19.91%
WaykiChain,WICC,"$29,261,250",$0.154821,"189,000,000 WICC *","$1,449,962",1.07%,-2.11%,-11.21%
Super Zero Protocol,SERO,"$29,335,860",$0.099096,"296,035,618 SERO *","$5,195,116",-9.21%,7.50%,1.55%
Voyager Token,VGX,"$28,915,472",$0.130077,"222,295,208 VGX *","$678,352",-0.73%,-9.34%,-17.12%
Switcheo,SWTH,"$28,307,247",$0.026316,"1,075,662,952 SWTH *","$349,615",4.06%,29.30%,26.95%
Fetch.ai,FET,"$28,371,675",$0.038026,"746,113,681 FET *","$3,340,738",1.28%,1.14%,-15.16%
Aion,AION,"$28,437,399",$0.059510,"477,861,253 AION","$1,657,027",0.44%,0.32%,-5.11%
DIA,DIA,"$28,061,115",$0.992544,"28,271,916 DIA *","$9,425,048",0.30%,-1.90%,-14.57%
Wirex Token,WXT,"$27,690,958",$0.008931,"3,100,500,000 WXT *","$661,215",1.37%,2.57%,2.05%
WINk,WIN,"$27,661,084",$0.000088,"313,607,571,387 WIN *","$3,776,458",-0.30%,0.93%,7.69%
xDai,STAKE,"$26,353,497",$8.36,"3,153,795 STAKE *","$2,427,241",-2.52%,-6.98%,-5.62%
Harmony,ONE,"$26,113,419",$0.004174,"6,255,461,110 ONE *","$2,909,124",0.84%,0.14%,-1.94%
Streamr,DATA,"$25,119,882",$0.036283,"692,329,898 DATA *","$3,066,309",-1.87%,2.31%,-1.20%
Elastos,ELA,"$25,292,045",$1.47,"17,244,540 ELA","$615,222",0.91%,-1.06%,-4.24%
Thunder Token,TT,"$25,262,663",$0.004291,"5,887,903,653 TT *","$4,630,057",-2.04%,0.76%,-7.51%
Ultra,UOS,"$24,175,438",$0.085583,"282,480,130 UOS *","$580,303",-1.15%,1.31%,1.56%
Keep3rV1,KP3R,"$24,283,816",$121.42,"200,001 KP3R *","$1,294,545",-2.73%,-8.91%,-59.66%
Haven Protocol,XHV,"$23,793,196",$1.72,"13,843,463 XHV *","$2,217,822",0.35%,11.43%,-1.96%
AdEx Network,ADX,"$23,076,882",$0.226023,"102,099,781 ADX *","$956,811",-2.95%,1.15%,9.10%
BOSAGORA,BOA,"$23,179,353",$0.082161,"282,119,914 BOA *","$211,294",0.84%,2.97%,-5.14%
BHEX Token,BHT,"$22,879,351",$0.116946,"195,639,532 BHT *","$153,210",-0.79%,1.27%,-2.61%
MXC,MXC,"$22,412,330",$0.008642,"2,593,538,083 MXC *","$5,044,609",1.09%,15.08%,-43.89%
GXChain,GXC,"$22,343,147",$0.319188,"70,000,000 GXC *","$6,407,031",-0.12%,0.08%,-18.11%
